target,client_id,age,gender,education,marital_status,child_total,dependants,socstatus_work_fl,socstatus_pens_fl,fl_presence_fl,own_auto,family_income,personal_income,gen_industry,gen_title,work_time,credit,term,loan_num_total,loan_num_closed
0,106804370,49,1,Среднее специальное,Состою в браке,2,1,2,1,0,0,от 10000 до 20000 руб.,5000,Торговля,Рабочий,18,8000,6,1,1
0,106804371,32,1,Среднее,Состою в браке,3,3,2,1,0,0,от 10000 до 20000 руб.,12000,Торговля,Рабочий,97,21650,6,1,1
0,106804372,52,1,Неполное среднее,Состою в браке,4,0,2,1,0,0,от 10000 до 20000 руб.,9000,Информационные технологии,Специалист,84,33126,12,2,1
0,106804373,39,1,Высшее,Состою в браке,1,1,2,1,1,0,от 20000 до 50000 руб.,25000,Образование,Руководитель среднего звена,168,8491.82,6,1,1
0,106804374,30,0,Среднее,Состою в браке,0,0,2,1,0,0,от 10000 до 20000 руб.,12000,Государственная служба,Специалист,101,21990,12,2,1
0,106804375,29,0,Среднее,Гражданский брак,0,0,2,1,0,1,от 20000 до 50000 руб.,12000,Торговля,Специалист,40,30615,12,2,1
0,106804376,35,0,Высшее,Разведен(а),1,1,2,1,1,0,от 20000 до 50000 руб.,15000,Другие сферы,Специалист,6,10450,3,2,2
0,106804377,41,1,Среднее,Состою в браке,0,0,2,1,1,0,от 10000 до 20000 руб.,6000,Сельское хозяйство,Рабочий,6,15035,10,2,1
0,106804378,53,0,Высшее,Состою в браке,2,0,2,1,0,0,свыше 50000 руб.,100000,Здравоохранение,Руководитель высшего звена,156,32914.31,4,1,1
0,106804379,43,1,Среднее специальное,Состою в браке,0,0,2,1,1,0,от 10000 до 20000 руб.,7000,Образование,Специалист,72,4440,6,1,1
0,106804380,54,1,Среднее специальное,Не состоял в браке,2,0,2,1,1,0,от 20000 до 50000 руб.,19000,Образование,Служащий,120,5160,3,1,1
0,106804383,45,1,Среднее специальное,Разведен(а),3,1,2,1,0,0,от 10000 до 20000 руб.,12000,Государственная служба,Рабочий,72,5770,9,1,1
0,106804384,38,1,Высшее,Состою в браке,0,1,2,1,0,0,от 20000 до 50000 руб.,20000,Государственная служба,Высококвалифиц. специалист,120,14513,5,2,1
0,106804386,65,1,Среднее специальное,Состою в браке,2,0,1,2,1,0,от 20000 до 50000 руб.,10000,,,,4039,3,1,1
0,106804387,29,1,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,5200,Коммунальное хоз-во/Дорожные службы,Рабочий,8,3400,6,1,1
0,106804389,28,1,Высшее,Не состоял в браке,0,0,2,1,0,0,от 10000 до 20000 руб.,15000,Металлургия/Промышленность/Машиностроение,Специалист,60,8918,6,1,1
0,106804390,37,1,Высшее,Состою в браке,1,1,2,1,1,0,от 10000 до 20000 руб.,10000,Образование,Специалист,192,10342,6,1,1
0,106804391,42,1,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,10000,Торговля,Специалист,76,19857,6,1,1
0,106804392,45,1,Высшее,Разведен(а),3,2,2,1,0,0,от 10000 до 20000 руб.,14000,Транспорт,Специалист,120,13000,6,1,1
0,106804393,32,1,Среднее специальное,Не состоял в браке,0,0,2,1,0,1,от 10000 до 20000 руб.,10000,Здравоохранение,Специалист,108,7300,6,1,1
0,106804394,33,1,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,8000,Металлургия/Промышленность/Машиностроение,Рабочий,24,12646,6,1,1
0,106804395,38,1,Среднее специальное,Не состоял в браке,1,1,2,1,1,0,от 10000 до 20000 руб.,13000,Торговля,Рабочий,18,14619,6,1,1
0,106804396,27,1,Высшее,Состою в браке,0,0,2,1,0,1,от 20000 до 50000 руб.,12500,Торговля,Руководитель среднего звена,60,3909,3,1,1
0,106804398,40,0,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 20000 до 50000 руб.,20000,Другие сферы,Рабочий,2,3390,6,1,1
0,106804399,63,1,Среднее специальное,Состою в браке,0,0,1,2,0,0,от 5000 до 10000 руб.,5000,,,,8000,3,1,1
0,106804400,40,1,Среднее специальное,Состою в браке,3,2,2,1,0,1,от 20000 до 50000 руб.,11000,Металлургия/Промышленность/Машиностроение,Рабочий,96,3307,4,1,1
0,106804401,27,0,Высшее,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,15000,Государственная служба,Руководитель среднего звена,108,3490,3,1,1
0,106804402,49,1,Среднее специальное,Не состоял в браке,2,0,2,1,0,0,от 5000 до 10000 руб.,5000,Торговля,Рабочий,20,9991,6,1,1
0,106804403,29,0,Среднее специальное,Не состоял в браке,0,0,2,1,0,1,от 20000 до 50000 руб.,10000,Транспорт,Работник сферы услуг,12,10000,6,1,1
0,106804404,61,1,Высшее,Состою в браке,0,0,2,1,0,0,от 10000 до 20000 руб.,13000,Металлургия/Промышленность/Машиностроение,Специалист,96,8118,3,1,1
0,106804405,43,1,Среднее специальное,Состою в браке,2,2,2,1,0,1,от 20000 до 50000 руб.,30000,Металлургия/Промышленность/Машиностроение,Рабочий,12,26990,6,1,1
0,106804406,38,0,Высшее,Не состоял в браке,0,0,2,1,1,0,от 20000 до 50000 руб.,23000,Банк/Финансы,Специалист,6,4869.66,6,2,2
0,106804407,38,0,Среднее специальное,Состою в браке,4,4,2,1,0,1,от 20000 до 50000 руб.,15000,Другие сферы,Руководитель высшего звена,120,8730,10,1,1
0,106804408,49,0,Среднее специальное,Состою в браке,2,0,2,1,1,0,от 10000 до 20000 руб.,10000,Ресторанный бизнес/Общественное питание,Рабочий,240,19989,6,1,1
0,106804409,44,1,Среднее специальное,Состою в браке,0,0,2,1,0,0,от 10000 до 20000 руб.,13000,Другие сферы,Руководитель высшего звена,180,5119,6,1,1
0,106804410,61,1,Среднее специальное,Состою в браке,2,0,1,2,0,0,от 5000 до 10000 руб.,5000,,,,13021,6,1,1
0,106804411,28,1,Среднее специальное,Состою в браке,1,1,2,1,0,0,от 10000 до 20000 руб.,8000,Торговля,Специалист,3,4550,3,2,2
0,106804412,31,0,Среднее специальное,Состою в браке,1,1,2,1,1,0,от 20000 до 50000 руб.,20000,Металлургия/Промышленность/Машиностроение,Рабочий,96,19240,36,1,1
0,106804413,59,1,Среднее специальное,Состою в браке,0,0,1,2,0,0,от 5000 до 10000 руб.,4000,,,,8880,6,1,1
0,106804414,54,1,Высшее,Состою в браке,2,0,2,1,1,0,от 20000 до 50000 руб.,8000,Торговля,Специалист,36,26820,10,2,1
0,106804415,48,1,Среднее специальное,Состою в браке,2,0,2,1,1,0,от 10000 до 20000 руб.,13000,Государственная служба,Специалист,144,13800,5,1,1
